AthleteGUID,AthleteName,AthleteGender,Nationality
1349396,Ethan Olivier,M         ,NZL
1347450,Graham Blanks,M         ,USA
1346297,Alexander Ogando,M         ,DOM
1328771,Yaseen Abdalla,M         ,SUD
1328414,John Cabang,M         ,PHI
1327327,Renan Correa,M         ,BRA
1370381,Alaa Journi,M         ,LBA
1367499,Jakub Dudycha,M         ,CZE
1366173,Nigeria,M         ,NGR
1365217,Feng Peiyou,M         ,CHN
1361591,Aydee Huaman,W         ,PER
1360278,Peter Maru,M         ,UGA
1359855,Paul McGrath,M         ,NULL
1356409,Ethan Katzberg,M         ,CAN
1355518,Liu Junxi,M         ,CHN
1353260,Jorge Luis Cruz,M         ,MEX
1352711,Asimenye Simwaka,W         ,MAW
1298476,Valentin Gondouin,M         ,FRA
1298028,Antony Pesela,M         ,BOT
1294877,Phoebe Gill,W         ,GBR
1294298,Saly Sarr,W         ,SEN
1293899,Paulo Amotun Lokoro,M         ,SSD
1293721,Wang Fang,W         ,CHN
1292144,Daniel Mateiko,M         ,KEN
1291700,Tayleb Willis,M         ,AUS
1290437,Kyle Swan,M         ,AUS
1287915,Rowan Hamilton,M         ,CAN
1285768,Johnatas De Oliveira,M         ,BRA
1285732,Plamena Mitkova,W         ,BUL
1326284,Ayane Yanai,W         ,JPN
1323123,Marc Brian Louis,M         ,SGP
1323039,Sören Klose,M         ,GER
1308742,Mohamed Daouda Tolo,M         ,KSA
1308694,Marta Serrano,W         ,ESP
1308485,Ezekiel Nathaniel,M         ,NGR
1308141,John Heymans,M         ,BEL
1305450,Adriana Vilagoš,W         ,SRB
1176334,Neeraj Chopra,M         ,IND
1303059,Bozhidar Saraboyukov,M         ,BUL
1294387,Yalemzerf Yehualaw,W         ,ETH
1293275,Brynn King,W         ,USA
1291822,Dakotah Lindwurm,W         ,USA
1290243,Ami Yamamoto,W         ,JPN
1289665,Akira Akasaki,M         ,JPN
1289506,Cornelius Kemboi,M         ,KEN
1289055,Nikola Horowska,W         ,POL
1288638,Linda Angounou,W         ,CMR
1288051,Jana Koščak,W         ,CRO
1286949,Mosese Foliaki,M         ,TGA
1286104,Mudhawi Al-Shammari,W         ,KUW
1285731,Erin Shaw,W         ,AUS
1284953,Levente Szemerei,M         ,HUN
1284837,Weronika Nagięć,W         ,POL
1284762,Shajar Abbas,M         ,PAK
1282940,Anna Tóth,W         ,HUN
1281667,Grace Konrad,W         ,CAN
1280063,Merel Maes,W         ,BEL
1279636,Yves Cherubin,M         ,HAI
1327259,Luis Reyes,M         ,CHI
1308184,Fabio Correia,M         ,BRA
1306595,Yusaku Kodama,M         ,JPN
1306184,Ammar Ismail Yahya Ibrahim,M         ,QAT
1305290,Hiroki Yanagita,M         ,JPN
1305024,Haruka Kokai,W         ,JPN
1304706,Jakub Szymański,M         ,POL
1304473,Herve Toumandji,M         ,CAF
1294636,Naomi Korir,W         ,KEN
1294346,Filip Rak,M         ,POL
1285640,Dina Aulia,W         ,INA
1284747,Leonid Latsepov,M         ,EST
1284540,Claire Azzopardi,W         ,MLT
1283145,Yanis Meziane,M         ,FRA
1283125,Audrey Werro,W         ,SUI
1281930,Heath Baldwin,M         ,USA
1142960,Johannes Vetter,M         ,GER
1279467,Sidonie Fiadanantsoa,W         ,MAD
1278229,Hussain Mohsen Al-Farisi,M         ,OMA
1352560,Xu Zhuoyi,M         ,CHN
1352126,Hobbs Kessler,M         ,USA
1350145,Farida Abaroge,W         ,ETH
1349457,Martín Sáenz,M         ,CHI
1305295,Rachid Muratake,M         ,JPN
1298218,Christine Mboma,W         ,NAM
1297022,Letsile Tebogo,M         ,BOT
1298806,Magnus Tuv Myhre,M         ,NOR
1298003,Jalen Lisse,M         ,SUR
1297338,Mykolas Alekna,M         ,LTU
1297286,Denisha Cartwright,W         ,NULL
1296835,Anej Čurin Prapotnik,M         ,SLO
1295974,Evin Demir,W         ,TUR
1295180,Cristina Montesinos,W         ,ESP
1295096,Claudia Hollingsworth,W         ,AUS
1294980,Bryan Levell,M         ,JAM
1294948,Zandrion Barnes,M         ,JAM
1295201,Mostafa El Faid,M         ,MAR
1293362,Chhun Bunthorn,M         ,CAM
1293027,Yonathan Kapitolnik,M         ,ISR
1292704,Tiaan Whelpton,M         ,NZL
1291399,Tsige Gebreselama,W         ,ETH
1290940,Daniela Torres,W         ,MEX
1290130,Ondřej Macík,M         ,CZE
1278153,Eduardo Moreira,M         ,BRA
1277755,Mátyás Németh,M         ,HUN
1277328,Navasky Anderson,M         ,JAM
1276767,Andrew Rotich Kwemoi,M         ,UGA
1275153,Lionel Spitz,M         ,SUI
1273644,Mohammed Al-Suleimani,M         ,OMA
1272204,Samantha Harrison,W         ,GBR
1271380,Ryo Hamanishi,M         ,JPN
1271227,Jamaa Mohamed Abdullahi,M         ,SOM
1270877,Trevor Bassitt,M         ,USA
1278169,Leonie Beu,W         ,PNG
1278119,Juliette Whittaker,W         ,USA
1276603,Ayşe Tekdal,W         ,TUR
1275686,Rahul Rohila,M         ,IND
1275007,Kenza Sosse,W         ,QAT
1274760,Angelina Topić,W         ,SRB
1274298,Judith Korir,W         ,KEN
1273654,Udodi Onwuzurike,M         ,NGR
1273270,Jacob Krop,M         ,KEN
1294495,Yeykell Romero,M         ,NCA
1294322,Ilona Mononen,W         ,FIN
1293801,Eva Kubícková,W         ,CZE
1293043,Oskar Edlund,M         ,SWE
1292357,Michael Joseph,M         ,LCA
1290743,Louie Hinchliffe,M         ,GBR
1289438,Balázs Tóth,M         ,HUN
1289107,Jente Hauttekeete,M         ,BEL
1289047,Deandre Watkin,M         ,JAM
1287600,Amal Al-Roumi,W         ,KUW
1285222,Daniel Ebenyo,M         ,KEN
1271915,Noah Bibi,M         ,MRI
1270413,Sven Roosen,M         ,NED
1270256,Anjali Devi,W         ,IND
1269801,Ackeem Blake,M         ,JAM
1294146,Eduard Kubelík,M         ,CZE
1293834,Matheus Gabriel Correa,M         ,BRA
1291798,Joel Bengtsson,M         ,SWE
1291452,Joshua Zeller,M         ,GBR
1291052,Martin Kiprotich,M         ,UGA
1289915,Fatmata Awolo,W         ,SLE
1287976,Rosie Elliott,W         ,NZL
1287718,Yuma Yamamoto,W         ,JPN
1286123,Timothy Kiplagat,M         ,KEN
1283824,Benji Richardson,M         ,RSA
1282857,Enzo Diessl,M         ,AUT
1280759,Filmon Teklebrhan,M         ,GER
1280532,Amos Serem,M         ,KEN
1269102,Dániel Huller,M         ,HUN
1269051,Chenoult Coetzee,M         ,NAM
1269044,Mark Bujnowski,M         ,CAN
1268902,Marcela Cristina Gómez,W         ,ARG
1267822,Julián Molina,M         ,ARG
1267631,Guadalupe Torrez,W         ,BOL
1266778,Mateo Vargas,M         ,PAR
1264998,Thomas Willems,M         ,AUS
1264856,Mgondzashe Ncube,M         ,ZIM
1264163,Margaux Sieracki,W         ,FRA
1263703,Poliníki Emmanouilídou,W         ,GRE
1263653,Mikaelle Assani,W         ,GER
1270770,Valentina Rosamilia,W         ,SUI
1270384,Evelin Inga,W         ,PER
1269373,Berke Akçam,M         ,TUR
1269162,Li Yandong,M         ,CHN
1268644,Cole Hocker,M         ,USA
1267625,Naomi Akakpo,W         ,TOG
1289588,Erriyon Knighton,M         ,USA
1289471,Ildar Akhmadiyev,M         ,TJK
1288651,Fayez Abdullah Al-Subaie,M         ,KSA
1288276,Samia Hassan Nour,W         ,DJI
1287674,Diego Patricio Arévalo,M         ,ECU
1285977,Tobias Grønstad,M         ,NOR
1285868,Rubén Arando,M         ,BOL
1266164,Yared Nuguse,M         ,USA
1266028,Slavko Stević,M         ,SRB
1265421,Andrés Olivas,M         ,MEX
1265368,Carolina Wikström,W         ,SWE
1265313,Han Il Ryong,M         ,NULL
1265154,Robin Emig,M         ,FRA
1264167,Reynaldo R. Espinosa,M         ,CUB
1263884,Jacob Boutera,M         ,NOR
1262452,Cordell Tinch,M         ,USA
1262218,Fiordaliza Cofil,W         ,DOM
1285281,Nico Young,M         ,USA
1285240,Aidan Murphy,M         ,AUS
1284646,Árpád Bánóczy,M         ,HUN
1282239,Hiroto Jusho,M         ,JPN
1281831,Beatrice Masilingi,W         ,NAM
1281674,Lorenzo Ndele Simonelli,M         ,ITA
1281338,Cheikh Tidiane Diouf,M         ,SEN
1281129,Abel Kipsang,M         ,KEN
1284132,Wu Quanming,W         ,CHN
1283626,Elissa Legault,W         ,CAN
1283415,Abdulselam Imük,M         ,TUR
1283307,Idow Hassan Ali,M         ,SOM
1282639,Elína Tzénggo,W         ,GRE
1282411,Abdelrahman Mahmoud,M         ,BRN
1281996,Laura Raquel Müller,W         ,GER
1281970,Jayden Ulrich,W         ,USA
1281453,Natalia Linares,W         ,COL
1281024,Jyothi Yarraji,W         ,IND
1280608,Francesco Sansovini,M         ,SMR
1261967,Mélissa Gutschmidt,W         ,SUI
1261419,Michelle Harrison,W         ,CAN
1261369,Yang Liujing,W         ,CHN
1261240,Romaine Beckford,M         ,JAM
1257299,Wang Zhaozhao,M         ,CHN
1257020,Tsegaye Kidanu,M         ,NULL
1255519,Andrea Bonilla,W         ,ECU
1255083,Kenneth Rooks,M         ,USA
1279653,Takele Bikila,M         ,ETH
1279230,Brandon Miller,M         ,USA
1278026,Anvar Anvarov,M         ,UZB
1277339,Zhao Jie,W         ,CHN
1277016,Jamal Abdelmaji Eisa Mohammed,M         ,SUD
1276155,Glenda Estefanía Morejón,W         ,ECU
1276154,Layla Al-Masry,W         ,PLE
1275859,Matic Ian Guček,M         ,SLO
1275837,Towa Uzawa,M         ,JPN
1254906,Torrie Lewis,W         ,AUS
1254899,He Wuga,W         ,CHN
1254598,Simon Sibeko,M         ,RSA
1253888,Silvia Patricia Ortiz,W         ,ECU
1253663,Rasheem Brown,M         ,CAY
1253279,Hanna Shеvchuk,W         ,UKR
1252102,Esraa Owis,W         ,EGY
1251723,Marthe Yankurije,W         ,RWA
1251625,Markus Rooth,M         ,NOR
1095198,Jakub Vadlejch,M         ,CZE
1280688,Agate De Sousa,W         ,POR
1280209,Marie Perrier,W         ,MRI
1278725,Mieke Gorissen,W         ,BEL
1277412,Favour Ashe,M         ,NGR
1277128,Sander Aae Skotheim,M         ,NOR
1263610,Rose Loga,W         ,FRA
1262992,Imaobong Nse Uko,W         ,NGR
1262351,Leonard Bett,M         ,KEN
1262041,Oleh Doroshchuk,M         ,UKR
1262005,Dicki-Terry Mael,M         ,VAN
1260870,Stephanie Davis,W         ,GBR
1091544,Magnus Kirt,M         ,EST
1259492,Enni Nurmi,W         ,FIN
1280215,Hiromichi Yoshida,M         ,JPN
1278968,Elvira Khasanova,W         ,RUS
1278427,Zerfe Wondemagegn,W         ,ETH
1278133,Santoshi Shrestha,W         ,NEP
1277958,Yasiel Brayan Sotero,M         ,ESP
1277374,Cui Lihong,M         ,CHN
1276939,Abraham Seme,M         ,ETH
1274591,Owen Ansah,M         ,GER
1274442,Tachlowini Gabriyesos,M         ,ERI
1272000,Stern Noel Liffa,M         ,MAW
1271398,Petra Sicaková,W         ,CZE
1271173,Rose Yeboah,W         ,GHA
1270782,Abdelatif Sadiki,M         ,MAR
1275545,Sanu Jallow,W         ,GAM
1275527,Gladymar Torres,W         ,PUR
1275049,Agate Caune,W         ,LAT
1274975,Ryuji Miura,M         ,JPN
1273471,Alejandro A. Parada,M         ,CUB
1273446,Connor Bell,M         ,NZL
1272001,Rhema Otabor,W         ,BAH
1251408,Marcela Joglová,W         ,CZE
1250722,Abdulaziz Salim Mohamed,M         ,QAT
1250230,Cathelijn Peeters,W         ,NED
1276936,Ftaw Zeray,W         ,ETH
1276619,Tsehay Gemechu,W         ,ETH
1275556,Kazuki Kurokawa,M         ,JPN
1275207,Hüseyin Can,M         ,TUR
1249987,José González,M         ,DOM
1249737,Joe Waskom,M         ,USA
1248817,Mathieu Jaquet,M         ,SUI
1248522,Matthew Wilkinson,M         ,USA
1248456,Bassem Hemeida,M         ,QAT
1247604,Miné De Klerk,W         ,RSA
1247519,Thea Löfman,W         ,SWE
1246269,Kristina Ovchinnikova,W         ,KAZ
1245851,Filip Jakob Demšar,M         ,SLO
1245248,Sara Benfarès,W         ,GER
1245213,Sarah Chelangat,W         ,UGA
1270504,Zhang Mingkun,M         ,CHN
1270103,Zhang Man,W         ,CHN
1269936,Xenia Noreen Hiebert,W         ,PAR
1269386,Henriette Jæger,W         ,NOR
1268675,Lidio Feliz,M         ,DOM
1267640,Olivia Gürth,W         ,GER
1266686,Riccardo Orsoni,M         ,ITA
1266318,Bayapo Ndori,M         ,BOT
1271982,Gracelyn Larkin,W         ,CAN
1271640,Hussein Ali Al-Khafaji,M         ,IRQ
1270320,Louis François Mendy,M         ,SEN
1269988,Xenia Benach,W         ,ESP
1267963,Nanako Fujii,W         ,JPN
1267565,Jonah Harris,M         ,NRU
1266444,Maciej Wyderka,M         ,POL
1265274,Dario Dester,M         ,ITA
1258966,Lamecha Girma,M         ,ETH
1258072,Emmanuel Eseme,M         ,CMR
1257252,Pedro Buaró,M         ,POR
1256299,Ankita Dhiyani,W         ,IND
1256164,Dubem Nwachukwu,M         ,NGR
1265801,Kishane Thompson,M         ,JAM
1264563,Attila Molnár,M         ,HUN
1264269,Diribe Welteji,W         ,ETH
1255931,Rachel Glenn,W         ,USA
1255905,Shaili Singh,W         ,IND
1254763,Dorota Skřivanová,W         ,CZE
1254551,Yana Smerdova,W         ,RUS
1254503,Mohamed Ali Gouaned,M         ,ALG
1253844,Qin Weibo,M         ,CHN
1252532,Till Steinforth,M         ,GER
1252064,Rodrigue Kwizéra,M         ,BDI
1244606,Briana Williams,W         ,JAM
1242974,Favour Ofili,W         ,NGR
1242826,Magdalena Shauri,W         ,TAN
1242782,Abdessamad Oukhelfen,M         ,ESP
1242225,Ludovica Cavalli,W         ,ITA
1273753,Ky Robinson,M         ,AUS
1272733,Nazareno Sasia,M         ,ARG
1272463,Oleksandr Pohorilko,M         ,UKR
1271513,David Kenny,M         ,IRL
1270341,Konstadínos Záltos,M         ,GRE
1269564,Russell Robinson,M         ,USA
1269456,Tsegaye Getachew,M         ,ETH
1267875,Franko Burraj,M         ,ALB
1267059,Muhd Azeem Fahmi,M         ,MAS
1266876,Worknesh Mesele,W         ,ETH
1242124,Filip Ostrowski,M         ,POL
1241570,Ethan Cormont,M         ,FRA
1241528,Luke McCann,M         ,IRL
1240274,Melese Nberet,M         ,ETH
1239958,Malik James-King,M         ,JAM
1144987,Julian Weber,M         ,GER
1120272,Julius Yego,M         ,KEN
1239491,Kaede Hagitani,W         ,JPN
1239064,Alex Kipngetich,M         ,KEN
1238881,Anja Lukić,W         ,SRB
1238093,Netsanet Desta,W         ,ETH
1236851,Dolshi Tesfu,W         ,ERI
1265788,Moa Granat,W         ,SWE
1265118,Viktória Forster,W         ,SVK
1264959,Jovan Stojoski,M         ,MKD
1264518,Li Yuting,W         ,CHN
1264409,Edmund Du Plessis,M         ,RSA
1264351,Joe Fahnbulleh,M         ,LBR
1236825,Diego Lacamoire,M         ,ARG
1236756,Louise Maraval,W         ,FRA
1236593,Anass Essayi,M         ,MAR
1236457,Rhonex Kipruto,M         ,KEN
1236199,Malachi Murray,M         ,CAN
1236056,Vít Hlaváč,M         ,CZE
1234266,Emil Nana Kwame Agyekum,M         ,GER
1233473,Nickisha Pryce,W         ,JAM
1264017,Sabastian Sawe,M         ,KEN
1263916,Benjamin Azamati,M         ,GHA
1263797,Hrístos Frantzeskákis,M         ,GRE
1262803,Leo Köpp,M         ,GER
1262510,Anni-Linnea Alanen,W         ,FIN
1233088,Alicia Monson,W         ,USA
1233074,Guy Maganga Gorra,M         ,GAB
1232079,Nelly Chepchirchir,W         ,KEN
1231979,Moussa Zaroumeye,M         ,NIG
1231142,Jemima Montag,W         ,AUS
1265258,Zahra Tatar,W         ,ALG
1263837,Tim Verbaandert,M         ,NED
1261515,Anthony Ammirati,M         ,FRA
1261146,Federico Riva,M         ,ITA
1260972,Zhu Shenglong,M         ,CHN
1260168,Tim Vincent,M         ,AUS
1256199,Yves Nimubona,M         ,RWA
1256140,Martynas Alekna,M         ,LTU
1255739,Joceline Wind,W         ,SUI
1255706,Tadese Worku,M         ,ETH
1255681,Berihu Aregawi,M         ,ETH
1251978,Felisberto De Deus,M         ,TLS
1251786,Tom Dradiga,M         ,UGA
1250952,João Ricardo Coelho,M         ,POR
1250448,Moitalel Mpoke,M         ,KEN
1249447,Chris Borzor,M         ,HAI
1249146,J. Jeswin Aldrin,M         ,IND
1248944,Vincent Keter,M         ,KEN
1263728,Nibret Melak,M         ,ETH
1263219,Jules Pommery,M         ,FRA
1263170,Ditiro Nzamani,M         ,BOT
1262032,Meryem Bekmez,W         ,TUR
1261665,Larissa Iapichino,W         ,ITA
1261012,Melody Julien,W         ,FRA
1260303,Olivier Mwimba,M         ,COD
1259691,Mikdat Sevler,M         ,TUR
1261695,Paola Vazquez,W         ,PUR
1261549,Lucas da Silva,M         ,BRA
1261524,Sofiya Yaremchuk,W         ,ITA
1261391,Leyanis Pérez,W         ,CUB
1261065,Chituru Ali,M         ,ITA
1260189,Nadale Buntin,M         ,SKN
1258425,Catherine Relin,W         ,KEN
1258307,Yauheni Bahutski,M         ,BLR
1257256,Albert Komański,M         ,POL
1230742,Hiromu Yamauchi,M         ,JPN
1230726,Zhang Jun,M         ,CHN
1229865,Jessica Moreira,W         ,BRA
1229680,Alaba Akintola,M         ,NGR
1228703,Declan Tingay,M         ,AUS
1228175,Clemence Beretta,W         ,FRA
1228168,Geiner Moreno,M         ,COL
1228118,Adam Spencer,M         ,AUS
1227255,Pietro Arese,M         ,ITA
1256051,Xie Zhiyu,M         ,CHN
1255384,Grace Nwokocha,W         ,NGR
1254241,Temitope Simbiat Adeshina,W         ,NGR
1253636,Randolph Ross,M         ,USA
1253630,Alegna Gonzalez,W         ,MEX
1252904,Corentin Le Clezio,M         ,FRA
1252784,Sinesipho Dambile,M         ,RSA
1255279,Terrence Jones Jr.,M         ,BAH
1254511,Pablo Mateo,M         ,FRA
1254160,Connor Murphy,M         ,AUS
1253811,Tibo De Smet,M         ,BEL
1252397,Lythe Pillay,M         ,RSA
1251101,Jaida Ross,W         ,USA
1250749,Simen Guttormsen,M         ,NOR
1250732,Gergely Török,M         ,HUN
1249273,Noelia Vargas,W         ,CRC
1247081,Mouad Mohamed Ibrahim,M         ,QAT
1246891,Daniel Roberts,M         ,USA
1246765,Velten Schneider,M         ,GER
1246639,Mindia Endeladze,M         ,GEO
1246555,Thalía Valdivia,W         ,PER
1245570,Boglárka Takács,W         ,HUN
1259148,El Hassane Moujahid,M         ,MAR
1258545,Courtney Lindsey,M         ,USA
1257844,István Palkovits,M         ,HUN
1256935,Chris Bailey,M         ,USA
1256924,Christopher Dryden,M         ,NZL
1256482,Juho Alasaari,M         ,FIN
1255296,Simone Plourde,W         ,CAN
1255187,Tom Reux,M         ,FRA
1254718,Israel Olatunde,M         ,IRL
1254552,Bernando Uriel Barrondo,M         ,GUA
