AthleteGUID,AthleteName,AthleteGender,Nationality
1107682,Sarah Warnock,W         ,GBR
1095594,Daniel Lewis,M         ,GBR
1123266,Michael Puplampu,M         ,GBR
1157506,Susanna Banjo,W         ,GBR
1152026,David King,M         ,GBR
1086655,Meghan Beesley,W         ,GBR
1144962,Jessie Knight,W         ,GBR
1179068,Lina Nielsen,W         ,GBR
1045855,Hannah England,W         ,GBR
1346436,Ayo Byron,M         ,GBR
1146129,Ama Pipi,W         ,GBR
1135870,Corinne Humphreys,W         ,GBR
1165976,Charlie Myers,M         ,GBR
1176238,Rechmial Miller,M         ,GBR
1129252,Confidence Lawson,M         ,GBR
1193235,Chad Miller,M         ,GBR
1153122,Reuben Arthur,M         ,GBR
1091580,Bethan Partridge,W         ,GBR
1232669,Oisin Gallen,M         ,GBR
1205569,Josh Griffiths,M         ,GBR
1171126,Nick Earl,M         ,GBR
1103377,Rosie Edwards,W         ,GBR
1292545,Kate Drew,W         ,GBR
1263486,Johanna O'Regan,W         ,GBR
1269719,Joss Foot,M         ,GBR
1344984,Mitchell Kirby,M         ,GBR
1187393,Emily Williams,W         ,GBR
1161817,Emily Jenkinson,W         ,GBR
1247559,Laura Darcey,W         ,GBR
1241919,Zoe Smith,W         ,GBR
1184639,Lisa Da Silva,W         ,GBR
1290067,Stephanie Ainley,W         ,GBR
1241627,Kosana Weir,W         ,GBR
1173166,Lia Stephenson,W         ,GBR
1163209,Kaie Chambers-Brown,M         ,GBR
1189781,Charles Hilliard,M         ,GBR
1069808,Rachel Miller,W         ,GBR
1138290,Jack Phipps,M         ,GBR
1218971,Charlotte Buckley,W         ,GBR
1154284,Clieo Stephenson,W         ,GBR
1151893,James Gladman,M         ,GBR
1122664,Alex Tovey,M         ,GBR
1194742,Clare Maurer,W         ,GBR
1139202,Zoey Clark,W         ,GBR
1087844,Angie Broadbelt-Blake,W         ,GBR
1130363,Feron Sayers,M         ,GBR
1118987,Jack Hallas,M         ,GBR
1155065,Scott Hall,M         ,GBR
1231344,Thomas Stevens,M         ,GBR
1137804,Daryll Neita,W         ,GBR
1162914,Holly Mills,W         ,GBR
1003650,Great Britain,W         ,GBR
1188185,Amy Hunt,W         ,GBR
1215943,Joe Ferguson,M         ,GBR
1240442,Praise Olatoke,M         ,GBR
1237693,Fraser Angus,M         ,GBR
1210091,Hannah Kelly,W         ,GBR
1269238,Lucy-Jane Matthews,W         ,GBR
1258423,Stephen Mackenzie,M         ,GBR
1254458,Marcey Winter,W         ,GBR
1256332,Seamus Derbyshire,M         ,GBR
1275275,Tobi Ogunkanmi,M         ,GBR
1006510,Great Britain,M         ,GBR
1194469,Immanuela Aliu,W         ,GBR
1206494,Cassie-Ann Pemberton,W         ,GBR
1235090,Sarah Omoregie,W         ,GBR
1188007,Amaya Scott,W         ,GBR
1233350,Megan Larkins,W         ,GBR
1118892,Rachel McClay,W         ,GBR
1294081,Robbie Wilde,M         ,GBR
1239845,Daniel Offiah,M         ,GBR
1123895,Holly Bradshaw,W         ,GBR
1145889,Zharnel Hughes,M         ,GBR
1122149,Dina Asher-Smith,W         ,GBR
1146628,Laura Muir,W         ,GBR
1102448,Laura Weightman,W         ,GBR
1103171,Chris Baker,M         ,GBR
1155133,Ojie Edoburun,M         ,GBR
1138887,Sophie Crumly,W         ,GBR
1222684,Kirsty Walker,W         ,GBR
1212687,Anna Boniface,W         ,GBR
1271582,Lionel Owona,M         ,GBR
1254583,Jodie Smith,W         ,GBR
1265144,Kelechi Aguocha,M         ,GBR
1264736,Matthew Buckner,M         ,GBR
1291452,Joshua Zeller,M         ,GBR
1213887,Jake Norris,M         ,GBR
1174085,Taylor Campbell,M         ,GBR
1255358,Jessica Lambert,W         ,GBR
1172417,Callum Brown,M         ,GBR
1245932,Charlotte Payne,W         ,GBR
1232063,Temi Ojora,W         ,GBR
1244932,Funminiyi Olajide,W         ,GBR
1281125,Will Barnicoat,M         ,GBR
1128820,Lukesha Morris,W         ,GBR
1347296,Georgie Haynes,W         ,GBR
1289810,Georgia Hayes,W         ,GBR
1283743,Orla Brennan,W         ,GBR
1293807,Harrison Lynch,M         ,GBR
1203613,Teepee Princewill,M         ,GBR
1268995,Theo Adesina,M         ,GBR
1246059,Ethan Brown,M         ,GBR
1209344,Ayoola Babalola,W         ,GBR
1205458,Rebecca Jeggo,W         ,GBR
1207028,Natasha Purchas,W         ,GBR
1180572,Hannah Johnson,W         ,GBR
1267041,Louise Evans,W         ,GBR
1264665,Shaun Hudson,M         ,GBR
1247239,Angus Harrington,M         ,GBR
1252592,Lauren Farley,W         ,GBR
1217094,Helen Broadbridge,W         ,GBR
1204527,Michaela Whitton,W         ,GBR
1228293,Kirstin Oakley,W         ,GBR
1189970,Joe Ellis,M         ,GBR
1202856,JJ Lister,M         ,GBR
