AthleteGUID,CompetitionID,EventID,dateid,EventName,Terrain,PerformanceValues,PerformanceUnits,CompPosition,CompRound,CompName,CompVenue,ValidPerformance,EventWind
1241441,134418,2988076,20/08/2023,100m,outdoor,9.88,seconds,4,Finals,WC,Budapest,1,0
1241441,134418,2988010,19/08/2023,100m,outdoor,9.86,seconds,1,Heats,WC,Budapest,1,0
1241441,126941,2830574,16/07/2022,100m,outdoor,9.97,seconds,4,Finals,WC,Eugene OR,1,-0.1
1241441,142291,3147124,03/08/2024,100m,outdoor,9.99,seconds,1,Heats,OG,Paris,1,0
1241441,126941,2830589,16/07/2022,100m,outdoor,9.9,seconds,1,Semi-finals,WC,Eugene OR,1,-0.1
1241441,112541,2658115,01/08/2021,100m,outdoor,10.09,seconds,4,Semi-finals,OG,Tokyo,1,-0.2
1241441,126941,2830539,15/07/2022,100m,outdoor,9.93,seconds,1,Heats,WC,Eugene OR,1,0.2
1241441,112541,2658118,31/07/2021,100m,outdoor,10.04,seconds,2,Heats,OG,Tokyo,1,0.1
1241441,142291,3147158,04/08/2024,100m,outdoor,9.91,seconds,8,Finals,OG,Paris,1,1
1252784,134418,2988729,24/08/2023,200m,outdoor,20.28,seconds,4,Semi-finals,WC,Budapest,1,0
1252517,142291,3147269,05/08/2024,400m Hurdles,outdoor,49.59,seconds,5,Heats,OG,Paris,1,NULL
1252517,142291,3147906,06/08/2024,400m Hurdles,outdoor,48.88,seconds,3,Quarter-finals,OG,Paris,1,NULL
1252176,142291,3147128,03/08/2024,Pole Vault,outdoor,5.4,metres,26,Quarter-finals,OG,Paris,1,NULL
1252176,134418,2988616,23/08/2023,Pole Vault,outdoor,5.7,metres,18,Quarter-finals,WC,Budapest,1,NULL
1250520,142291,3147524,04/08/2024,400m,outdoor,44.53,seconds,3,Heats,OG,Paris,1,NULL
1250520,142291,3147765,06/08/2024,400m,outdoor,44.94,seconds,5,Semi-finals,OG,Paris,1,NULL
1250238,135095,3029961,01/03/2024,400m,indoor,47.53,seconds,4,Heats,WC,Glasgow,1,NULL
1249534,134418,2988815,26/08/2023,Shot Put,outdoor,15.94,metres,33,Quarter-finals,WC,Budapest,1,NULL
1249160,134418,2988075,20/08/2023,10000m,outdoor,1746.79,seconds,21,Finals,WC,Budapest,1,NULL
1248843,134418,2988611,23/08/2023,800m,outdoor,120.92,seconds,7,Heats,WC,Budapest,1,NULL
1247899,126941,2830865,17/07/2022,Shot Put,outdoor,20.93,metres,8,Finals,WC,Eugene OR,1,NULL
1247899,126941,2830566,15/07/2022,Shot Put,outdoor,21.03,metres,8,Quarter-finals,WC,Eugene OR,1,NULL
1247623,142291,3148108,07/08/2024,800m,outdoor,106,seconds,4,Heats,OG,Paris,1,NULL
1247623,134418,2988487,22/08/2023,800m,outdoor,106.86,seconds,7,Heats,WC,Budapest,1,NULL
1247623,142291,3148425,08/08/2024,800m,outdoor,105.8,seconds,4,Quarter-finals,OG,Paris,1,NULL
1247229,142291,3148418,08/08/2024,110m Hurdles,outdoor,13.34,seconds,7,Finals,OG,Paris,1,-0.1
1247229,134418,2988318,21/08/2023,110m Hurdles,outdoor,13.34,seconds,4,Semi-finals,WC,Budapest,1,-0.2
1247229,134418,2988071,20/08/2023,110m Hurdles,outdoor,13.39,seconds,5,Heats,WC,Budapest,1,-0.6
1247229,142291,3148098,07/08/2024,110m Hurdles,outdoor,13.09,seconds,1,Semi-finals,OG,Paris,1,0.6
1247229,142291,3147156,04/08/2024,110m Hurdles,outdoor,13.35,seconds,2,Heats,OG,Paris,1,0
1247229,126941,2830561,16/07/2022,110m Hurdles,outdoor,13.55,seconds,5,Heats,WC,Eugene OR,1,-0.3
1247229,126941,2830659,17/07/2022,110m Hurdles,outdoor,13.67,seconds,6,Semi-finals,WC,Eugene OR,1,-0.6
1247229,81430,2376415,30/09/2019,110m Hurdles,outdoor,13.5,seconds,5,Heats,WC,Doha,1,0.4
1254544,142291,3147917,06/08/2024,1500m,outdoor,242.83,seconds,6,Heats,OG,Paris,1,NULL
1254544,135095,3007966,03/03/2024,1500m,indoor,246.88,seconds,10,Finals,WC,Glasgow,1,NULL
