AthleteGUID,CompetitionID,EventID,dateid,EventName,Terrain,PerformanceValues,PerformanceUnits,CompPosition,CompRound,CompVenue,AthleteName,AthleteGender,Nationality,Flag,EventType,RankValue
1150443,142291,3148209,2024-08-07,400m,outdoor,43.44,seconds,2.0,finals,paris,matthew hudsonsmith,M         ,gbr,gbr,time_based,43.44
1150443,134890,3143016,2024-07-20,400m,outdoor,43.74,seconds,1.0,finals,london,matthew hudsonsmith,M         ,gbr,gbr,time_based,43.74
1150443,142439,3151297,2024-08-22,400m,outdoor,43.96,seconds,1.0,finals,lausanne,matthew hudsonsmith,M         ,gbr,gbr,time_based,43.96
1170137,142291,3148209,2024-08-07,400m,outdoor,43.4,seconds,1.0,finals,paris,quincy hall,M         ,usa,global,time_based,43.4
1150443,142291,3148209,2024-08-07,400m,outdoor,43.44,seconds,2.0,finals,paris,matthew hudsonsmith,M         ,gbr,global,time_based,43.44
1153683,81430,2431622,2019-10-04,400m,outdoor,43.48,seconds,1.0,finals,doha,steven gardiner,M         ,bah,global,time_based,43.48
1190389,142291,3148569,2024-08-09,400m,outdoor,49.29,seconds,5.0,finals,paris,amber anning,W         ,gbr,gbr,time_based,49.29
1190389,140380,3094065,2024-05-11,400m,outdoor,49.51,seconds,3.0,finals,gainesville fl,amber anning,W         ,gbr,gbr,time_based,49.51
1190389,141228,3111328,2024-06-08,400m,outdoor,49.59,seconds,3.0,finals,eugene or,amber anning,W         ,gbr,gbr,time_based,49.59
1168586,81430,2408431,2019-10-03,400m,outdoor,48.14,seconds,1.0,finals,doha,salwa eid naser,W         ,brn,global,time_based,48.14
1219820,142291,3148569,2024-08-09,400m,outdoor,48.17,seconds,1.0,finals,paris,marileidy paulino,W         ,dom,global,time_based,48.17
1126919,112541,2659312,2021-08-06,400m,outdoor,48.36,seconds,1.0,finals,tokyo,shaunae milleruibo,W         ,bah,global,time_based,48.36
1244679,141866,3133855,2024-06-30,400m Hurdles,outdoor,48.54,seconds,1.0,finals,manchester,alastair chalmers,M         ,gbr,gbr,time_based,48.54
1244679,126055,2804219,2022-05-28,400m Hurdles,outdoor,48.88,seconds,1.0,finals,oordegem,alastair chalmers,M         ,gbr,gbr,time_based,48.88
1157289,135008,3151876,2024-08-24,400m Hurdles,outdoor,48.89,seconds,1.0,finals,manchester,efekemo okoro,M         ,gbr,gbr,time_based,48.89
1147979,112541,2658982,2021-08-03,400m Hurdles,outdoor,45.94,seconds,1.0,finals,tokyo,karsten warholm,M         ,nor,global,time_based,45.94
1159777,112541,2658982,2021-08-03,400m Hurdles,outdoor,46.17,seconds,2.0,finals,tokyo,rai benjamin,M         ,usa,global,time_based,46.17
1201737,126941,2831738,2022-07-19,400m Hurdles,outdoor,46.29,seconds,1.0,finals,eugene or,alison dos santos,M         ,bra,global,time_based,46.29
1144962,126055,2804500,2022-05-28,400m Hurdles,outdoor,54.09,seconds,1.0,finals,oordegem,jessie knight,W         ,gbr,gbr,time_based,54.09
1144962,128270,2980923,2023-07-23,400m Hurdles,outdoor,54.09,seconds,5.0,finals,london,jessie knight,W         ,gbr,gbr,time_based,54.09
1144962,134890,3143017,2024-07-20,400m Hurdles,outdoor,54.15,seconds,5.0,finals,london,jessie knight,W         ,gbr,gbr,time_based,54.15
1165415,142291,3148400,2024-08-08,400m Hurdles,outdoor,50.37,seconds,1.0,finals,paris,sydney mclaughlinlevrone,W         ,usa,global,time_based,50.37
1165415,126941,2832185,2022-07-22,400m Hurdles,outdoor,50.68,seconds,1.0,finals,eugene or,sydney mclaughlinlevrone,W         ,usa,global,time_based,50.68
1165415,112541,2658919,2021-08-04,400m Hurdles,outdoor,51.46,seconds,1.0,finals,tokyo,sydney mclaughlinlevrone,W         ,usa,global,time_based,51.46
1153204,137298,3101752,2024-05-17,5000m,outdoor,774.66,seconds,8.0,finals,westwood ca,sam atkin,M         ,gbr,gbr,time_based,774.66
1176236,135806,3004155,2024-01-26,5000m,indoor,778.68,seconds,2.0,finals,boston ma,george mills,M         ,gbr,gbr,time_based,778.68
1153204,135806,3004155,2024-01-26,5000m,indoor,778.73,seconds,3.0,finals,boston ma,sam atkin,M         ,gbr,gbr,time_based,778.73
1153562,112541,2659319,2021-08-06,5000m,outdoor,778.15,seconds,1.0,finals,tokyo,joshua cheptegei,M         ,uga,global,time_based,778.15
1119351,112541,2659319,2021-08-06,5000m,outdoor,778.61,seconds,2.0,finals,tokyo,mohammed ahmed,M         ,can,global,time_based,778.61
1137653,81430,2382601,2019-09-30,5000m,outdoor,778.85,seconds,1.0,finals,doha,muktar edris,M         ,eth,global,time_based,778.85
1094126,112173,2649033,2021-07-01,5000m,outdoor,868.55,seconds,4.0,finals,oslo,eilish mccolgan,W         ,gbr,gbr,time_based,868.55
1094126,119780,2685643,2021-09-03,5000m,outdoor,871.26,seconds,7.0,finals,bruxelles,eilish mccolgan,W         ,gbr,gbr,time_based,871.26
1102448,83999,2488425,2020-08-14,5000m,outdoor,875.44,seconds,3.0,finals,monaco,laura weightman,W         ,gbr,gbr,time_based,875.44
1135554,81430,2423859,2019-10-05,5000m,outdoor,866.72,seconds,1.0,finals,doha,hellen obiri,W         ,ken,global,time_based,866.72
1120604,81430,2423859,2019-10-05,5000m,outdoor,867.49,seconds,2.0,finals,doha,margaret kipkemboi,W         ,ken,global,time_based,867.49
1152609,81430,2423859,2019-10-05,5000m,outdoor,868.43,seconds,3.0,finals,doha,konstanze klosterhalfen,W         ,ger,global,time_based,868.43
1219403,142078,3139997,2024-07-12,800m,outdoor,102.27,seconds,5.0,finals,monaco,ben pattison,M         ,gbr,gbr,time_based,102.27
1201841,126483,2815718,2022-06-14,800m,outdoor,103.52,seconds,1.0,finals,turku,max burgin,M         ,gbr,gbr,time_based,103.52
1182634,89525,2531462,2021-02-17,800m,indoor,103.63,seconds,1.0,finals,toru,elliot giles,M         ,gbr,gbr,time_based,103.63
1308716,142291,3148726,2024-08-10,800m,outdoor,101.19,seconds,1.0,finals,paris,emmanuel wanyonyi,M         ,ken,global,time_based,101.19
1237143,142291,3148726,2024-08-10,800m,outdoor,101.2,seconds,2.0,finals,paris,marco arop,M         ,can,global,time_based,101.2
1361620,142291,3148726,2024-08-10,800m,outdoor,101.5,seconds,3.0,finals,paris,djamel sedjati,M         ,alg,global,time_based,101.5
1313989,89486,2719303,2021-09-04,800m,outdoor,108.99,seconds,1.0,finals,tokyo,hannah cockroft,W         ,gbr,gbr,time_based,108.99
1221587,134890,3143060,2024-07-20,800m,outdoor,114.61,seconds,1.0,finals,london,keely hodgkinson,W         ,gbr,gbr,time_based,114.61
1221587,134552,2992541,2023-09-17,800m,outdoor,115.19,seconds,2.0,finals,eugene or,keely hodgkinson,W         ,gbr,gbr,time_based,115.19
1217796,112541,2658994,2021-08-03,800m,outdoor,115.21,seconds,1.0,finals,tokyo,athing mu,W         ,usa,global,time_based,115.21
1221587,112541,2658994,2021-08-03,800m,outdoor,115.88,seconds,2.0,finals,tokyo,keely hodgkinson,W         ,gbr,global,time_based,115.88
1225093,134418,2988981,2023-08-27,800m,outdoor,116.03,seconds,1.0,finals,budapest,mary moraa,W         ,ken,global,time_based,116.03
1156978,137378,3057018,2024-04-06,Discus Throw,outdoor,67.73,metres,2.0,finals,ramona ok,nick percy,M         ,gbr,gbr,distance_based,-67.73
1142725,127131,2837988,2022-08-19,Discus Throw,outdoor,67.14,metres,3.0,finals,mnchen,lawrence okoye,M         ,gbr,gbr,distance_based,-67.14
1142725,111497,2638027,2021-06-11,Discus Throw,outdoor,67.13,metres,1.0,finals,sdertlje,lawrence okoye,M         ,gbr,gbr,distance_based,-67.13
1129199,134418,2988229,2023-08-21,Discus Throw,outdoor,71.46,metres,1.0,finals,budapest,daniel sthl,M         ,swe,global,distance_based,-71.46
1226496,126941,2831754,2022-07-19,Discus Throw,outdoor,71.13,metres,1.0,finals,eugene or,kristjan eh,M         ,slo,global,distance_based,-71.13
1226496,134418,2988229,2023-08-21,Discus Throw,outdoor,70.02,metres,2.0,finals,budapest,kristjan eh,M         ,slo,global,distance_based,-70.02
1087236,137378,3077700,2024-04-27,Discus Throw,outdoor,63.15,metres,1.0,finals,ramona ok,jade lally,W         ,gbr,gbr,distance_based,-63.15
1087236,121814,2727879,2022-01-08,Discus Throw,outdoor,61.78,metres,1.0,finals,brisbane,jade lally,W         ,gbr,gbr,distance_based,-61.78
1087236,122787,2750300,2022-03-05,Discus Throw,outdoor,61.75,metres,1.0,finals,brisbane,jade lally,W         ,gbr,gbr,distance_based,-61.75
1146664,142291,3147537,2024-08-05,Discus Throw,outdoor,69.5,metres,1.0,finals,paris,valarie allman,W         ,usa,global,distance_based,-69.5
1183593,134418,2988507,2023-08-22,Discus Throw,outdoor,69.49,metres,1.0,finals,budapest,laulauga tausagacollins,W         ,usa,global,distance_based,-69.49
1146664,134418,2988507,2023-08-22,Discus Throw,outdoor,69.23,metres,2.0,finals,budapest,valarie allman,W         ,usa,global,distance_based,-69.23
1144181,77548,2464745,2019-06-12,Hammer Throw,outdoor,78.39,metres,3.0,finals,bydgoszcz,nick miller,M         ,gbr,gbr,distance_based,-78.39
1174085,89793,2633973,2021-06-05,Hammer Throw,outdoor,78.23,metres,1.0,finals,tatabnya,taylor campbell,M         ,gbr,gbr,distance_based,-78.23
1144181,112541,2659050,2021-08-04,Hammer Throw,outdoor,78.15,metres,6.0,finals,tokyo,nick miller,M         ,gbr,gbr,distance_based,-78.15
1356409,142291,3147155,2024-08-04,Hammer Throw,outdoor,84.12,metres,1.0,finals,paris,ethan katzberg,M         ,can,global,distance_based,-84.12
1123282,112541,2659050,2021-08-04,Hammer Throw,outdoor,82.52,metres,1.0,finals,tokyo,wojciech nowicki,M         ,pol,global,distance_based,-82.52
1119938,126941,2830545,2022-07-16,Hammer Throw,outdoor,81.98,metres,1.0,finals,eugene or,pawe fajdek,M         ,pol,global,distance_based,-81.98
1230369,128466,2908882,2023-04-08,Hammer Throw,outdoor,73.02,metres,2.0,finals,berkeley ca,anna purchase,W         ,gbr,gbr,distance_based,-73.02
1230369,136453,3127793,2024-06-21,Hammer Throw,outdoor,71.79,metres,2.0,finals,madrid,anna purchase,W         ,gbr,gbr,distance_based,-71.79
1230369,133573,2959896,2023-06-08,Hammer Throw,outdoor,71.47,metres,3.0,finals,austin tx,anna purchase,W         ,gbr,gbr,distance_based,-71.47
1168849,126941,2830660,2022-07-17,Hammer Throw,outdoor,78.96,metres,1.0,finals,eugene or,brooke andersen,W         ,usa,global,distance_based,-78.96
1064340,112541,2658884,2021-08-03,Hammer Throw,outdoor,78.48,metres,1.0,finals,tokyo,anita wodarczyk,W         ,pol,global,distance_based,-78.48
1136638,81430,2460534,2019-09-28,Hammer Throw,outdoor,77.54,metres,1.0,finals,doha,deanna price,W         ,usa,global,distance_based,-77.54
1223299,103852,2527603,2020-02-08,High Jump,indoor,2.33,metres,1.0,finals,hustopee,tom gale,M         ,gbr,gbr,distance_based,-2.33
1223299,104154,2481396,2020-02-11,High Jump,indoor,2.31,metres,3.0,finals,bansk bystrica,tom gale,M         ,gbr,gbr,distance_based,-2.31
1223299,83417,2477181,2020-02-02,High Jump,indoor,2.3,metres,1.0,finals,tinec,tom gale,M         ,gbr,gbr,distance_based,-2.3
1196545,112541,2658193,2021-08-01,High Jump,outdoor,2.37,metres,3.0,finals,tokyo,maksim nedasekau,M         ,blr,global,distance_based,-2.37
1124302,112541,2658193,2021-08-01,High Jump,outdoor,2.37,metres,1.0,finals,tokyo,gianmarco tamberi,M         ,ita,global,distance_based,-2.37
1115323,81430,2439898,2019-10-04,High Jump,outdoor,2.37,metres,1.0,finals,doha,mutaz essa barshim,M         ,qat,global,distance_based,-2.37
1142649,128436,2870690,2023-02-04,High Jump,indoor,1.99,metres,1.0,finals,hustopee,morgan lake,W         ,gbr,gbr,distance_based,-1.99
1142649,103353,2467823,2019-01-26,High Jump,indoor,1.97,metres,3.0,finals,hustopee,morgan lake,W         ,gbr,gbr,distance_based,-1.97
1142649,133659,2962453,2023-06-13,High Jump,outdoor,1.97,metres,2.0,finals,turku,morgan lake,W         ,gbr,gbr,distance_based,-1.97
1211306,81430,2392042,2019-09-30,High Jump,outdoor,2.04,metres,2.0,finals,doha,yaroslava mahuchikh,W         ,ukr,global,distance_based,-2.04
1093282,81430,2392042,2019-09-30,High Jump,outdoor,2.04,metres,1.0,finals,doha,mariya lasitskene,W         ,rus,global,distance_based,-2.04
1093282,112541,2659388,2021-08-07,High Jump,outdoor,2.04,metres,1.0,finals,tokyo,mariya lasitskene,W         ,rus,global,distance_based,-2.04
1184453,81125,2447274,2019-05-19,Javelin Throw,outdoor,80.32,metres,1.0,finals,loughborough,harry hughes,M         ,gbr,gbr,distance_based,-80.32
1207694,125317,2791130,2022-05-15,Javelin Throw,outdoor,79.53,metres,5.0,finals,offenburg,joe harris,M         ,gbr,gbr,distance_based,-79.53
1199355,124234,2841131,2022-08-29,Javelin Throw,outdoor,79.26,metres,1.0,finals,tonbridge,james whiteaker,M         ,gbr,gbr,distance_based,-79.26
1194566,142291,3148401,2024-08-08,Javelin Throw,outdoor,92.97,metres,1.0,finals,paris,arshad nadeem,M         ,pak,global,distance_based,-92.97
1179631,126941,2832217,2022-07-23,Javelin Throw,outdoor,90.54,metres,1.0,finals,eugene or,anderson peters,M         ,grn,global,distance_based,-90.54
