AthleteGUID,CompetitionID,EventID,dateid,EventName,Terrain,PerformanceValues,PerformanceUnits,CompPosition,CompRound,CompName,CompVenue,ValidPerformance,EventWind,AthleteName,AthleteGender,Nationality
1370480,142291,3147906,06/08/2024,400m Hurdles,outdoor,49.25,seconds,5.0,Quarter-finals,OG,Paris,1,,Daiki Ogawa,M         ,JPN
1370480,142291,3147269,05/08/2024,400m Hurdles,outdoor,50.21,seconds,6.0,Heats,OG,Paris,1,,Daiki Ogawa,M         ,JPN
1369126,126941,2830540,15/07/2022,3000m Steeplechase,outdoor,518.46,seconds,13.0,Heats,WC,Eugene OR,1,,Salaheddine Ben Yazide,M         ,MAR
1448616,134418,2988039,19/08/2023,100m,outdoor,11.07,seconds,4.0,Single race,WC,Budapest,1,0.2,Aayush Kunwar,M         ,NEP
1433377,142291,3148108,07/08/2024,800m,outdoor,109.61,seconds,9.0,Heats,OG,Paris,1,,Musa Sulimann,M         ,SUD
1433377,142291,3148425,08/08/2024,800m,outdoor,110.11,seconds,9.0,Quarter-finals,OG,Paris,1,,Musa Sulimann,M         ,SUD
1430871,134418,2988010,19/08/2023,100m,outdoor,10.91,seconds,8.0,Heats,WC,Budapest,1,-0.1,Joseph Green,M         ,
1430871,134418,2988039,19/08/2023,100m,outdoor,10.84,seconds,2.0,Single race,WC,Budapest,1,-0.3,Joseph Green,M         ,
1430871,142291,3147135,03/08/2024,100m,outdoor,10.85,seconds,5.0,Single race,OG,Paris,1,-0.4,Joseph Green,M         ,
1430871,126941,2831654,18/07/2022,200m,outdoor,22.04,seconds,7.0,Heats,WC,Eugene OR,1,0.0,Joseph Green,M         ,
1427495,142291,3146999,02/08/2024,Discus Throw,outdoor,59.1,metres,28.0,Quarter-finals,OG,Paris,1,,Jiang Zhichao,W         ,CHN
1418486,142291,3147791,06/08/2024,Long Jump,outdoor,6.58,metres,13.0,Quarter-finals,OG,Paris,1,0.0,Xiong Shiqi,W         ,CHN
1414992,123073,2753509,18/03/2022,1500m,indoor,270.9,seconds,7.0,Heats,WC,Beograd,1,,Amna Bakhit Barsham,W         ,SUD
1411467,142291,3148425,08/08/2024,800m,outdoor,105.52,seconds,1.0,Quarter-finals,OG,Paris,1,,Kethobogile Haingura,M         ,BOT
1411467,142291,3148496,09/08/2024,800m,outdoor,104.95,seconds,7.0,Semi-finals,OG,Paris,1,,Kethobogile Haingura,M         ,BOT
1411467,142291,3148108,07/08/2024,800m,outdoor,106.46,seconds,7.0,Heats,OG,Paris,1,,Kethobogile Haingura,M         ,BOT
1409595,142291,3147135,03/08/2024,100m,outdoor,10.69,seconds,5.0,Single race,OG,Paris,1,0.3,Beppe Grillo,M         ,MLT
1400768,142291,3148209,07/08/2024,400m,outdoor,44.73,seconds,7.0,Finals,OG,Paris,1,,Samuel Ogazi,M         ,NGR
1469677,142291,3148108,07/08/2024,800m,outdoor,114.83,seconds,9.0,Heats,OG,Paris,1,,Mohammed Dwedar,M         ,PLE
1469677,142291,3148425,08/08/2024,800m,outdoor,114.83,seconds,9.0,Quarter-finals,OG,Paris,1,,Mohammed Dwedar,M         ,PLE
1469677,134418,2988487,22/08/2023,800m,outdoor,115.45,seconds,9.0,Heats,WC,Budapest,1,,Mohammed Dwedar,M         ,PLE
1459422,142291,3147135,03/08/2024,100m,outdoor,10.76,seconds,5.0,Single race,OG,Paris,1,0.6,Seco Camara,M         ,GBS
1453858,142291,3147135,03/08/2024,100m,outdoor,10.31,seconds,2.0,Single race,OG,Paris,1,0.2,Marcos Santos,M         ,ANG
1453858,142291,3147124,03/08/2024,100m,outdoor,10.4,seconds,7.0,Heats,OG,Paris,1,0.0,Marcos Santos,M         ,ANG
1453858,134418,2988613,23/08/2023,200m,outdoor,21.05,seconds,7.0,Heats,WC,Budapest,1,-1.4,Marcos Santos,M         ,ANG
1452271,134418,2988039,19/08/2023,100m,outdoor,11.03,seconds,4.0,Single race,WC,Budapest,1,0.0,Terrone Webster,M         ,AIA
1427971,142291,3147124,03/08/2024,100m,outdoor,10.06,seconds,3.0,Heats,OG,Paris,1,-0.3,Abdul-Rasheed Saminu,M         ,GHA
1427971,142291,3147402,04/08/2024,100m,outdoor,10.05,seconds,7.0,Semi-finals,OG,Paris,1,0.5,Abdul-Rasheed Saminu,M         ,GHA
1418969,142291,3147525,05/08/2024,400m,outdoor,52.51,seconds,7.0,Heats,OG,Paris,1,,Pahal Kiran,W         ,IND
1418969,142291,3147905,06/08/2024,400m,outdoor,52.59,seconds,6.0,Quarter-finals,OG,Paris,1,,Pahal Kiran,W         ,IND
1404549,142291,3147135,03/08/2024,100m,outdoor,10.55,seconds,5.0,Single race,OG,Paris,1,0.2,Adam Ibadulla,M         ,MDV
1403337,142291,3147135,03/08/2024,100m,outdoor,10.64,seconds,4.0,Single race,OG,Paris,1,0.6,Sha Mahmood Noor Zahi,M         ,AFG
1403337,112541,2658096,31/07/2021,100m,outdoor,11.04,seconds,7.0,Single race,OG,Tokyo,1,-0.2,Sha Mahmood Noor Zahi,M         ,AFG
1388795,142291,3147157,04/08/2024,1500m,outdoor,215.32,seconds,10.0,Semi-finals,OG,Paris,1,,Raynold Cheruiyot,M         ,KEN
1482591,142291,3148214,07/08/2024,5000m,outdoor,831.82,seconds,2.0,Heats,OG,Paris,1,,Biniam Mehary,M         ,ETH
1482591,135095,3010888,03/03/2024,1500m,indoor,220.0,seconds,9.0,Finals,WC,Glasgow,1,,Biniam Mehary,M         ,ETH
1482591,135095,3022321,01/03/2024,1500m,indoor,235.81,seconds,6.0,Heats,WC,Glasgow,1,,Biniam Mehary,M         ,ETH
1482591,142291,3148693,10/08/2024,5000m,outdoor,795.99,seconds,6.0,Finals,OG,Paris,1,,Biniam Mehary,M         ,ETH
1465754,142291,3146986,02/08/2024,800m,outdoor,128.2,seconds,9.0,Heats,OG,Paris,1,,Perina Lokure Nakang,W         ,SSD
1465754,142291,3147087,03/08/2024,800m,outdoor,131.33,seconds,7.0,Quarter-finals,OG,Paris,1,,Perina Lokure Nakang,W         ,SSD
1464982,142291,3147061,02/08/2024,1500m,outdoor,216.31,seconds,2.0,Heats,OG,Paris,1,,Brian Komen,M         ,KEN
1464982,142291,3147157,04/08/2024,1500m,outdoor,212.57,seconds,4.0,Semi-finals,OG,Paris,1,,Brian Komen,M         ,KEN
1464982,142291,3147955,06/08/2024,1500m,outdoor,215.59,seconds,12.0,Finals,OG,Paris,1,,Brian Komen,M         ,KEN
1456837,142291,3147060,02/08/2024,100m,outdoor,11.99,seconds,4.0,Single race,OG,Paris,1,0.2,Georgiana Sesay,W         ,SLE
1456837,142291,3146954,02/08/2024,100m,outdoor,12.15,seconds,9.0,Heats,OG,Paris,1,-0.8,Georgiana Sesay,W         ,SLE
1440807,135095,3024185,01/03/2024,800m,indoor,122.69,seconds,3.0,Heats,WC,Glasgow,1,,Addy Wiley,W         ,USA
1432026,142291,3148425,08/08/2024,800m,outdoor,106.37,seconds,6.0,Quarter-finals,OG,Paris,1,,Koitatoi Kidali,M         ,KEN
1432026,142291,3148108,07/08/2024,800m,outdoor,105.84,seconds,5.0,Heats,OG,Paris,1,,Koitatoi Kidali,M         ,KEN
1410250,142291,3147124,03/08/2024,100m,outdoor,10.24,seconds,6.0,Heats,OG,Paris,1,-0.3,Davonte Howell,M         ,CAY
1410250,142291,3147135,03/08/2024,100m,outdoor,10.31,seconds,1.0,Single race,OG,Paris,1,-0.3,Davonte Howell,M         ,CAY
1405772,134418,2988571,23/08/2023,3000m Steeplechase,outdoor,609.41,seconds,10.0,Heats,WC,Budapest,1,,Juliane Hvid,W         ,DEN
1404744,142291,3147269,05/08/2024,400m Hurdles,outdoor,48.67,seconds,4.0,Heats,OG,Paris,1,,Yeral Nuñez,M         ,DOM
1404744,142291,3147906,06/08/2024,400m Hurdles,outdoor,53.68,seconds,5.0,Quarter-finals,OG,Paris,1,,Yeral Nuñez,M         ,DOM
1401610,142291,3147269,05/08/2024,400m Hurdles,outdoor,48.9,seconds,2.0,Heats,OG,Paris,1,,Matheus Lima,M         ,BRA
1401610,142291,3148213,07/08/2024,400m Hurdles,outdoor,49.08,seconds,4.0,Semi-finals,OG,Paris,1,,Matheus Lima,M         ,BRA
1474685,142291,3147135,03/08/2024,100m,outdoor,10.73,seconds,7.0,Single race,OG,Paris,1,0.3,Waisake Tewa,M         ,FIJ
1441177,142291,3147491,05/08/2024,3000m Steeplechase,outdoor,516.67,seconds,10.0,Heats,OG,Paris,1,,James Corrigan,M         ,USA
1430072,134418,2988002,19/08/2023,3000m Steeplechase,outdoor,502.95,seconds,9.0,Heats,WC,Budapest,1,,Mohammed Msaad,M         ,MAR
1423411,135095,3006983,01/03/2024,1500m,indoor,251.54,seconds,2.0,Heats,WC,Glasgow,1,,Birke Haylom,W         ,ETH
1423411,135095,3007966,03/03/2024,1500m,indoor,246.27,seconds,9.0,Finals,WC,Glasgow,1,,Birke Haylom,W         ,ETH
1423411,142291,3148387,08/08/2024,1500m,outdoor,243.11,seconds,10.0,Semi-finals,OG,Paris,1,,Birke Haylom,W         ,ETH
1423411,134418,2988014,19/08/2023,1500m,outdoor,241.12,seconds,3.0,Heats,WC,Budapest,1,,Birke Haylom,W         ,ETH
1423411,134418,2988100,20/08/2023,1500m,outdoor,242.46,seconds,2.0,Semi-finals,WC,Budapest,1,,Birke Haylom,W         ,ETH
1423411,134418,2988524,22/08/2023,1500m,outdoor,241.51,seconds,9.0,Finals,WC,Budapest,1,,Birke Haylom,W         ,ETH
1423411,142291,3147917,06/08/2024,1500m,outdoor,247.15,seconds,11.0,Heats,OG,Paris,1,,Birke Haylom,W         ,ETH
1423411,142291,3148032,07/08/2024,1500m,outdoor,241.47,seconds,1.0,Quarter-finals,OG,Paris,1,,Birke Haylom,W         ,ETH
1371478,142291,3146986,02/08/2024,800m,outdoor,127.76,seconds,8.0,Heats,OG,Paris,1,,Tharushi Karunarathna,W         ,SRI
1371478,142291,3147087,03/08/2024,800m,outdoor,126.66,seconds,7.0,Quarter-finals,OG,Paris,1,,Tharushi Karunarathna,W         ,SRI
1369757,142291,3148214,07/08/2024,5000m,outdoor,832.53,seconds,7.0,Heats,OG,Paris,1,,Seare Dawit,M         ,ERI
1369126,134418,2988002,19/08/2023,3000m Steeplechase,outdoor,518.14,seconds,10.0,Heats,WC,Budapest,1,,Salaheddine Ben Yazide,M         ,MAR
1368456,134418,2988795,24/08/2023,5000m,outdoor,851.99,seconds,21.0,Heats,WC,Budapest,1,,Ferenc Soma Kovács,M         ,HUN
1367176,142291,3146954,02/08/2024,100m,outdoor,11.54,seconds,7.0,Heats,OG,Paris,1,1.2,Alessandra Gasparelli,W         ,SMR
1367176,142291,3147060,02/08/2024,100m,outdoor,11.62,seconds,2.0,Single race,OG,Paris,1,0.0,Alessandra Gasparelli,W         ,SMR
1366619,142291,3147778,06/08/2024,200m,outdoor,20.49,seconds,1.0,Quarter-finals,OG,Paris,1,0.3,Erik Erlandsson,M         ,SWE
1366619,142291,3147517,05/08/2024,200m,outdoor,20.65,seconds,7.0,Heats,OG,Paris,1,0.2,Erik Erlandsson,M         ,SWE
1366619,142291,3148199,07/08/2024,200m,outdoor,20.93,seconds,8.0,Semi-finals,OG,Paris,1,-0.2,Erik Erlandsson,M         ,SWE
1365973,142291,3147162,04/08/2024,Hammer Throw,outdoor,70.23,metres,14.0,Quarter-finals,OG,Paris,1,,Erin Reese,W         ,USA
1356149,142291,3147061,02/08/2024,1500m,outdoor,215.21,seconds,1.0,Heats,OG,Paris,1,,Ermiyas Girma,M         ,ETH
1356149,142291,3147157,04/08/2024,1500m,outdoor,220.27,seconds,12.0,Semi-finals,OG,Paris,1,,Ermiyas Girma,M         ,ETH
1356149,126941,2832016,20/07/2022,800m,outdoor,109.36,seconds,4.0,Heats,WC,Eugene OR,1,,Ermiyas Girma,M         ,ETH
1352161,142291,3147517,05/08/2024,200m,outdoor,20.35,seconds,2.0,Heats,OG,Paris,1,-0.1,Wanya McCoy,M         ,BAH
1352161,142291,3148199,07/08/2024,200m,outdoor,20.61,seconds,5.0,Semi-finals,OG,Paris,1,-0.1,Wanya McCoy,M         ,BAH
1352161,142291,3147124,03/08/2024,100m,outdoor,10.24,seconds,5.0,Heats,OG,Paris,1,-1.1,Wanya McCoy,M         ,BAH
1352144,126941,2832181,23/07/2022,100m Hurdles,outdoor,12.94,seconds,3.0,Heats,WC,Eugene OR,1,0.5,Marione Fourie,W         ,RSA
1352144,142291,3148568,09/08/2024,100m Hurdles,outdoor,13.01,seconds,6.0,Semi-finals,OG,Paris,1,-0.7,Marione Fourie,W         ,RSA
1352144,126941,2832445,24/07/2022,100m Hurdles,outdoor,12.93,seconds,5.0,Semi-finals,WC,Eugene OR,1,-0.1,Marione Fourie,W         ,RSA
1352144,142291,3148405,08/08/2024,100m Hurdles,outdoor,12.79,seconds,1.0,Quarter-finals,OG,Paris,1,0.1,Marione Fourie,W         ,RSA
1352144,142291,3148216,07/08/2024,100m Hurdles,outdoor,12.91,seconds,4.0,Heats,OG,Paris,1,0.0,Marione Fourie,W         ,RSA
1400768,142291,3147765,06/08/2024,400m,outdoor,44.41,seconds,3.0,Semi-finals,OG,Paris,1,,Samuel Ogazi,M         ,NGR
1400768,142291,3147524,04/08/2024,400m,outdoor,44.5,seconds,2.0,Heats,OG,Paris,1,,Samuel Ogazi,M         ,NGR
1398080,135095,3029961,01/03/2024,400m,indoor,48.0,seconds,4.0,Heats,WC,Glasgow,1,,Graham Pellegrini,M         ,MLT
1395697,142291,3147135,03/08/2024,100m,outdoor,10.54,seconds,3.0,Single race,OG,Paris,1,-0.4,Dominique Lasconi Mulamba,M         ,COD
1395697,142291,3147124,03/08/2024,100m,outdoor,10.53,seconds,7.0,Heats,OG,Paris,1,0.2,Dominique Lasconi Mulamba,M         ,COD
1370830,126941,2830562,16/07/2022,3000m Steeplechase,outdoor,567.5,seconds,6.0,Heats,WC,Eugene OR,1,,Jackline Chepkoech,W         ,KEN
1370830,142291,3147153,04/08/2024,3000m Steeplechase,outdoor,575.56,seconds,12.0,Heats,OG,Paris,1,,Jackline Chepkoech,W         ,KEN
1370830,134418,2988571,23/08/2023,3000m Steeplechase,outdoor,556.41,seconds,1.0,Heats,WC,Budapest,1,,Jackline Chepkoech,W         ,KEN
1370830,134418,2989249,27/08/2023,3000m Steeplechase,outdoor,554.72,seconds,9.0,Finals,WC,Budapest,1,,Jackline Chepkoech,W         ,KEN
1370494,134418,2988795,24/08/2023,5000m,outdoor,817.53,seconds,10.0,Heats,WC,Budapest,1,,Egide Ntakarutimana,M         ,BDI
1370494,142291,3148214,07/08/2024,5000m,outdoor,851.29,seconds,10.0,Heats,OG,Paris,1,,Egide Ntakarutimana,M         ,BDI
1370494,126941,2830855,17/07/2022,10000m,outdoor,1704.07,seconds,18.0,Finals,WC,Eugene OR,1,,Egide Ntakarutimana,M         ,BDI
1369618,112541,2659024,03/08/2021,200m,outdoor,21.66,seconds,7.0,Heats,OG,Tokyo,1,-0.3,José Andrés Salazar,M         ,ESA
1368600,123073,2753622,18/03/2022,400m,indoor,49.82,seconds,5.0,Heats,WC,Beograd,1,,Pau Blasi,M         ,AND
1367762,142291,3147719,05/08/2024,5000m,outdoor,875.43,seconds,6.0,Finals,OG,Paris,1,,Medina Eisa,W         ,ETH
1367762,142291,3147080,02/08/2024,5000m,outdoor,900.82,seconds,2.0,Heats,OG,Paris,1,,Medina Eisa,W         ,ETH
1367762,134418,2988590,23/08/2023,5000m,outdoor,903.07,seconds,6.0,Heats,WC,Budapest,1,,Medina Eisa,W         ,ETH
1367762,134418,2988880,26/08/2023,5000m,outdoor,898.23,seconds,6.0,Finals,WC,Budapest,1,,Medina Eisa,W         ,ETH
1367103,142291,3148099,07/08/2024,400m,outdoor,51.42,seconds,8.0,Semi-finals,OG,Paris,1,,Lurdes Gloria Manuel,W         ,CZE
1367103,142291,3147525,05/08/2024,400m,outdoor,52.2,seconds,6.0,Heats,OG,Paris,1,,Lurdes Gloria Manuel,W         ,CZE
1367103,142291,3147905,06/08/2024,400m,outdoor,50.81,seconds,3.0,Quarter-finals,OG,Paris,1,,Lurdes Gloria Manuel,W         ,CZE
1366183,142291,3147135,03/08/2024,100m,outdoor,10.6,seconds,3.0,Single race,OG,Paris,1,0.1,Favoris Muzrapov,M         ,TJK
1366183,134418,2988010,19/08/2023,100m,outdoor,10.99,seconds,7.0,Heats,WC,Budapest,1,0.0,Favoris Muzrapov,M         ,TJK
1388795,142291,3147061,02/08/2024,1500m,outdoor,217.12,seconds,4.0,Heats,OG,Paris,1,,Raynold Cheruiyot,M         ,KEN
1388795,134418,2988001,19/08/2023,1500m,outdoor,214.24,seconds,3.0,Heats,WC,Budapest,1,,Raynold Cheruiyot,M         ,KEN
1388795,134418,2988610,23/08/2023,1500m,outdoor,210.78,seconds,8.0,Finals,WC,Budapest,1,,Raynold Cheruiyot,M         ,KEN
1388795,134418,2988099,20/08/2023,1500m,outdoor,215.53,seconds,6.0,Semi-finals,WC,Budapest,1,,Raynold Cheruiyot,M         ,KEN
1371471,142291,3147124,03/08/2024,100m,outdoor,10.29,seconds,7.0,Heats,OG,Paris,1,0.3,Ronal Longa,M         ,
1370946,142291,3147517,05/08/2024,200m,outdoor,20.07,seconds,2.0,Heats,OG,Paris,1,0.2,Tapiwa Makarawu,M         ,ZIM
1370946,142291,3148199,07/08/2024,200m,outdoor,20.16,seconds,3.0,Semi-finals,OG,Paris,1,-0.6,Tapiwa Makarawu,M         ,ZIM
1370946,142291,3148366,08/08/2024,200m,outdoor,20.1,seconds,6.0,Finals,OG,Paris,1,0.4,Tapiwa Makarawu,M         ,ZIM
1370946,134418,2988613,23/08/2023,200m,outdoor,20.64,seconds,4.0,Heats,WC,Budapest,1,-0.1,Tapiwa Makarawu,M         ,ZIM
1370663,134418,2988014,19/08/2023,1500m,outdoor,244.51,seconds,7.0,Heats,WC,Budapest,1,,Purity Chepkirui,W         ,KEN
1370497,134418,2988011,19/08/2023,Hammer Throw,outdoor,71.72,metres,26.0,Quarter-finals,WC,Budapest,1,,Ronald A. Mencia,M         ,CUB
1370328,142291,3147955,06/08/2024,1500m,outdoor,210.75,seconds,9.0,Finals,OG,Paris,1,,Stefan Nillessen,M         ,NED
1370328,142291,3147157,04/08/2024,1500m,outdoor,212.73,seconds,5.0,Semi-finals,OG,Paris,1,,Stefan Nillessen,M         ,NED
1370328,142291,3147061,02/08/2024,1500m,outdoor,216.77,seconds,1.0,Heats,OG,Paris,1,,Stefan Nillessen,M         ,NED
1368174,142291,3147524,04/08/2024,400m,outdoor,44.99,seconds,3.0,Heats,OG,Paris,1,,Luca Sito,M         ,ITA
1368174,142291,3147765,06/08/2024,400m,outdoor,45.01,seconds,5.0,Semi-finals,OG,Paris,1,,Luca Sito,M         ,ITA
1364982,142291,3147514,05/08/2024,Discus Throw,outdoor,61.81,metres,21.0,Quarter-finals,OG,Paris,1,,Mika Sosna,M         ,GER
1364287,134418,2988001,19/08/2023,1500m,outdoor,220.72,seconds,12.0,Heats,WC,Budapest,1,,Nick Griggs,M         ,IRL
1361620,142291,3148496,09/08/2024,800m,outdoor,105.08,seconds,1.0,Semi-finals,OG,Paris,1,,Djamel Sedjati,M         ,ALG
1361620,142291,3148726,10/08/2024,800m,outdoor,101.5,seconds,3.0,Finals,OG,Paris,1,,Djamel Sedjati,M         ,ALG
1361620,134418,2988487,22/08/2023,800m,outdoor,107.87,seconds,2.0,Heats,WC,Budapest,1,,Djamel Sedjati,M         ,ALG
1361620,134418,2988794,24/08/2023,800m,outdoor,104.49,seconds,2.0,Semi-finals,WC,Budapest,1,,Djamel Sedjati,M         ,ALG
1361620,126941,2832016,20/07/2022,800m,outdoor,106.39,seconds,1.0,Heats,WC,Eugene OR,1,,Djamel Sedjati,M         ,ALG
1361620,126941,2832085,21/07/2022,800m,outdoor,105.44,seconds,1.0,Semi-finals,WC,Eugene OR,1,,Djamel Sedjati,M         ,ALG
1387572,142291,3147161,04/08/2024,Long Jump,outdoor,6.97,metres,30.0,Quarter-finals,OG,Paris,1,-1.0,Petr Meindlschmid,M         ,CZE
1386594,134418,2988487,22/08/2023,800m,outdoor,107.98,seconds,8.0,Heats,WC,Budapest,1,,Abdullah Al-Yaari,M         ,YEM
1384656,134418,2988039,19/08/2023,100m,outdoor,11.04,seconds,3.0,Single race,WC,Budapest,1,0.2,Camara Seco,M         ,GBS
1371354,112541,2658118,31/07/2021,100m,outdoor,10.64,seconds,8.0,Heats,OG,Tokyo,1,0.6,Mohamed Al Hammadi,M         ,UAE
1371354,112541,2658096,31/07/2021,100m,outdoor,10.59,seconds,3.0,Single race,OG,Tokyo,1,0.0,Mohamed Al Hammadi,M         ,UAE
1371292,142291,3147124,03/08/2024,100m,outdoor,10.13,seconds,3.0,Heats,OG,Paris,1,0.0,Phooripol Bunson,M         ,THA
1371292,142291,3147402,04/08/2024,100m,outdoor,10.14,seconds,9.0,Semi-finals,OG,Paris,1,0.5,Phooripol Bunson,M         ,THA
1370124,142291,3147491,05/08/2024,3000m Steeplechase,outdoor,504.95,seconds,3.0,Heats,OG,Paris,1,,Simon Koech,M         ,KEN
1370124,134418,2988002,19/08/2023,3000m Steeplechase,outdoor,500.29,seconds,3.0,Heats,WC,Budapest,1,,Simon Koech,M         ,KEN
1370124,142291,3148208,07/08/2024,3000m Steeplechase,outdoor,489.26,seconds,7.0,Finals,OG,Paris,1,,Simon Koech,M         ,KEN
1370124,134418,2988541,22/08/2023,3000m Steeplechase,outdoor,494.37,seconds,7.0,Finals,WC,Budapest,1,,Simon Koech,M         ,KEN
1356154,142291,3148214,07/08/2024,5000m,outdoor,832.62,seconds,8.0,Heats,OG,Paris,1,,Addisu Yihune,M         ,ETH
1356154,142291,3148693,10/08/2024,5000m,outdoor,802.33,seconds,14.0,Finals,OG,Paris,1,,Addisu Yihune,M         ,ETH
1356095,142291,3148199,07/08/2024,200m,outdoor,20.31,seconds,3.0,Semi-finals,OG,Paris,1,-0.2,Makanakaishe Charamba,M         ,ZIM
1356095,142291,3148366,08/08/2024,200m,outdoor,20.53,seconds,8.0,Finals,OG,Paris,1,0.4,Makanakaishe Charamba,M         ,ZIM
1356095,142291,3147517,05/08/2024,200m,outdoor,20.27,seconds,2.0,Heats,OG,Paris,1,-0.1,Makanakaishe Charamba,M         ,ZIM
1353752,134418,2988573,23/08/2023,Triple Jump,outdoor,13.39,metres,31.0,Quarter-finals,WC,Budapest,1,0.6,Véronique Kossenda Rey,W         ,CMR
1351797,134418,2988498,22/08/2023,400m,outdoor,46.39,seconds,8.0,Semi-finals,WC,Budapest,1,,Collen Kebinatshipi,M         ,BOT
1351797,134418,2988101,20/08/2023,400m,outdoor,44.8,seconds,4.0,Heats,WC,Budapest,1,,Collen Kebinatshipi,M         ,BOT
1351797,142291,3147524,04/08/2024,400m,outdoor,44.45,seconds,3.0,Heats,OG,Paris,1,,Collen Kebinatshipi,M         ,BOT
1369757,142291,3148693,10/08/2024,5000m,outdoor,811.5,seconds,19.0,Finals,OG,Paris,1,,Seare Dawit,M         ,ERI
1365318,134418,2988099,20/08/2023,1500m,outdoor,212.74,seconds,3.0,Semi-finals,WC,Budapest,1,,Niels Laros,M         ,NED
1365318,134418,2988001,19/08/2023,1500m,outdoor,214.25,seconds,1.0,Heats,WC,Budapest,1,,Niels Laros,M         ,NED
1365318,134418,2988610,23/08/2023,1500m,outdoor,211.25,seconds,10.0,Finals,WC,Budapest,1,,Niels Laros,M         ,NED
1365318,142291,3147955,06/08/2024,1500m,outdoor,209.54,seconds,6.0,Finals,OG,Paris,1,,Niels Laros,M         ,NED
1365318,142291,3147157,04/08/2024,1500m,outdoor,212.22,seconds,4.0,Semi-finals,OG,Paris,1,,Niels Laros,M         ,NED
1365318,142291,3147061,02/08/2024,1500m,outdoor,215.38,seconds,4.0,Heats,OG,Paris,1,,Niels Laros,M         ,NED
1361702,126941,2831297,17/07/2022,400m,outdoor,48.4,seconds,7.0,Heats,WC,Eugene OR,1,,Dexter Mayorga,M         ,NCA
1353379,112541,2659081,04/08/2021,200m,outdoor,24.56,seconds,,Heats,OG,Tokyo,1,0.3,Zheng Ninali,W         ,CHN
1353379,112541,2659099,04/08/2021,Shot Put,outdoor,13.55,metres,,Heats,OG,Tokyo,1,,Zheng Ninali,W         ,CHN
1353379,112541,2659129,05/08/2021,Long Jump,outdoor,6.12,metres,,Heats,OG,Tokyo,1,0.6,Zheng Ninali,W         ,CHN
1353379,112541,2659227,05/08/2021,800m,outdoor,130.35,seconds,,Heats,OG,Tokyo,1,,Zheng Ninali,W         ,CHN
1353379,112541,2659230,05/08/2021,Javelin Throw,outdoor,42.6,metres,,Heats,OG,Tokyo,1,,Zheng Ninali,W         ,CHN
1353379,112541,2658863,04/08/2021,100m Hurdles,outdoor,13.27,seconds,,Heats,OG,Tokyo,1,-0.8,Zheng Ninali,W         ,CHN
1353379,112541,2658990,04/08/2021,High Jump,outdoor,1.8,metres,,Heats,OG,Tokyo,1,,Zheng Ninali,W         ,CHN
1352978,142291,3148213,07/08/2024,400m Hurdles,outdoor,48.34,seconds,2.0,Semi-finals,OG,Paris,1,,Roshawn Clarke,M         ,JAM
1352978,142291,3147269,05/08/2024,400m Hurdles,outdoor,48.17,seconds,1.0,Heats,OG,Paris,1,,Roshawn Clarke,M         ,JAM
